code_region;code_departement;code;nom;geonameid;lat;lng
10;7670946;CM001001001;Ngaoundal;;6.44026;13.14021
10;7670946;CM001001002;Tibati;;6.52950;12.64324
10;7670947;CM001002001;Galim-Tignere;;7.13055;12.30799
10;7670947;CM001002002;Kontcha;;8.06284;12.26941
10;7670947;CM001002003;Mayo-Baleo;;7.67908;12.33165
10;7670947;CM001002004;Tignère;;7.36070;12.63453
10;9224946;CM001003001;Bankim;;6.25716;11.49610
10;9224946;CM001003002;Banyo;;6.72307;11.79874
10;9224946;CM001003003;Mayo-Darle;;6.47644;11.65225
10;8299279;CM001004001;Dir;;6.40580;13.67091
10;8299279;CM001004002;Djohong;;6.93091;14.87229
10;8299279;CM001004003;Meiganga;;6.43694;14.42127
10;8299279;CM001004004;Ngaoui;;6.78086;14.96221
10;7670948;CM001005001;Belel;;7.10821;14.39011
10;7670948;CM001005002;Martap;;7.22343;13.17427
10;7670948;CM001005003;Mbe;;7.77179;13.54079
10;7670948;CM001005004;Nganha;;7.46163;13.91639
10;7670948;CM001005005;Ngaoundéré 1er;;7.27541;13.54650
10;7670948;CM001005006;Ngaoundéré 2e;;7.34756;13.62749
10;7670948;CM001005007;Ngaoundéré 3e;;7.49888;13.56454
10;7670948;CM001005008;Nyambaka;;6.91112;13.79595
11;2230817;CM002001001;Bibey;;5.09293;12.88736
11;2230817;CM002001002;Lembe Yezoum;;4.21138;12.24945
11;2230817;CM002001003;Mbandjock;;4.45099;11.85886
11;2230817;CM002001004;Minta;2226514;4.64098;12.96651
11;2230817;CM002001005;Nanga-Eboko;;4.78602;12.37807
11;2230817;CM002001006;Nkoteng;;4.49299;12.14100
11;2230817;CM002001007;Nsem;;4.90280;12.91944
11;2229546;CM002002001;Batchenga;;4.28566;11.64698
11;2229546;CM002002002;Ebebda;;4.40574;11.35076
11;2229546;CM002002003;Elig-Mfomo;;4.16900;11.33870
11;2229546;CM002002004;Evodoula;;4.12715;11.23184
11;2229546;CM002002005;Lobo;;3.90236;11.24980
11;2229546;CM002002006;Monatélé;;4.25964;11.26064
11;2229546;CM002002007;Obala;;4.11659;11.49375
11;2229546;CM002002008;Okola;;3.99515;11.40358
11;2229546;CM002002009;Saa;;4.35824;11.50981
11;9224948;CM002003001;Bafia;;4.73797;11.23100
11;9224948;CM002003002;Bokito;;4.48323;11.10678
11;9224948;CM002003003;Deuk;;5.00395;11.14277
11;9224948;CM002003004;Kiiki;;4.67553;11.15336
11;9224948;CM002003005;Kon Yambetta;;4.81107;11.08046
11;9224948;CM002003006;Makenene;;4.86629;10.58621
11;9224948;CM002003007;Ndikinimeki;;4.67475;10.65121
11;9224948;CM002003008;Nitoukou;;4.65024;10.90344
11;9224948;CM002003009;Ombessa;;4.62703;11.31888
11;7730793;CM002004001;Mbangassina;;4.56429;11.46081
11;7730793;CM002004002;Ngambe-Tikar;;5.65329;11.70479
11;7730793;CM002004003;Ngoro;;4.98758;11.43468
11;7730793;CM002004004;Ntui;;4.52461;11.66147
11;7730793;CM002004005;Yoko;;5.44490;12.33241
11;7731690;CM002005001;Afanloum;;4.12689;12.04737
11;7731690;CM002005002;Assamba;;3.99165;12.01697
11;7731690;CM002005003;Awae;;3.88800;11.90143
11;7731690;CM002005004;Edzendouan;;4.19650;11.72611
11;7731690;CM002005005;Esse;;4.12323;11.86135
11;7731690;CM002005006;Mfou;;3.68921;11.60795
11;7731690;CM002005007;Nkolafamba;;3.80786;11.73688
11;7731690;CM002005008;Soa;;4.00462;11.57904
11;9165815;CM002006001;Akono;;3.48523;11.28974
11;9165815;CM002006002;Bikok;;3.54906;11.41238
11;9165815;CM002006003;Mbankomo;;3.75684;11.33301
11;9165815;CM002006004;Ngoumou;;3.63944;11.30369
11;8693008;CM002007001;Yaoundé 1er;;3.91498;11.51950
11;8693008;CM002007002;Yaoundé 2e;;3.90698;11.48492
11;8693008;CM002007003;Yaoundé 3e;;3.79129;11.48273
11;8693008;CM002007004;Yaoundé 4e;;3.81459;11.52915
11;8693008;CM002007005;Yaoundé 5e;;3.89518;11.55248
11;8693008;CM002007006;Yaoundé 6e;;3.83327;11.47131
11;8693008;CM002007007;Yaoundé 7e;;3.87479;11.44708
11;2223330;CM002008001;Biyouha;;3.80551;10.72279
11;2223330;CM002008002;Bondjock;;3.65721;11.12177
11;2223330;CM002008003;Bot-Makak;;4.04006;10.93455
11;2223330;CM002008004;Dibang;;3.94929;10.73019
11;2223330;CM002008005;Éséka;;3.64908;10.82169
11;2223330;CM002008006;Makak;;3.57324;11.09457
11;2223330;CM002008007;Matomb;;3.83372;11.04961
11;2223330;CM002008008;Messondo;;3.57828;10.50921
11;2223330;CM002008009;Ngog-Mapubi;;3.89987;10.90439
11;2223330;CM002008010;Nguibassal;;4.09870;11.07234
11;2223329;CM002009001;Akonolinga;;3.91483;12.26806
11;2223329;CM002009002;Ayos;;4.10924;12.48979
11;2223329;CM002009003;Endom;;3.44376;12.10577
11;2223329;CM002009004;Mengang;;3.84222;12.11593
11;2223329;CM002009005;Nyakokombo;;4.04747;12.71682
11;2223327;CM002010001;Akoeman;;3.26091;11.57809
11;2223327;CM002010002;Dzeng;;3.67505;11.85943
11;2223327;CM002010003;Mbalmayo;;3.48644;11.55774
11;2223327;CM002010004;Mengueme;;3.27178;11.37667
11;2223327;CM002010005;Ngomedzap;;3.28540;11.20573
11;2223327;CM002010006;Nkolmetet;;3.42521;11.76293
04;2233500;CM003001001;Gari Gombo;;3.74917;14.95165
04;2233500;CM003001002;Moloundou;;2.07749;15.47701
04;2233500;CM003001003;Salapoumbe;;2.68277;15.33709
04;2233500;CM003001004;Yokadouma;;3.13937;15.16223
04;2230815;CM003002001;Abong-Mbang;;3.85545;13.27064
04;2230815;CM003002002;Bebend;;3.91524;12.76871
04;2230815;CM003002003;Dimako;;4.33702;13.60962
04;2230815;CM003002004;Dja;;3.57324;13.86689
04;2230815;CM003002005;Doumaintang;;4.19710;13.17444
04;2230815;CM003002006;Doume;;4.29791;13.38889
04;2230815;CM003002007;Lomie;;3.10390;13.36945
04;2230815;CM003002008;Mboanz;;4.09251;12.94868
04;2230815;CM003002009;Mboma;;4.19542;12.91923
04;2230815;CM003002010;Messamena;;3.60592;12.93450
04;2230815;CM003002011;Messok;;3.09553;14.18607
04;2230815;CM003002012;Ngoyla;;2.61388;14.12334
04;2230815;CM003002013;Nguelemendouka;;4.34670;12.87335
04;2230815;CM003002014;Somalomo;;3.30680;12.96790
04;2230606;CM003003001;Batouri;;4.49029;14.40889
04;2230606;CM003003002;Bombe;;4.28592;14.94174
04;2230606;CM003003003;Kette;;4.76601;14.48345
04;2230606;CM003003004;Mbang;;3.98892;14.12658
04;2230606;CM003003005;Mbotoro;;5.11747;14.59467
04;2230606;CM003003006;Ndelele;;4.00791;14.80977
04;2230606;CM003003007;Ndem Nam;;4.13602;13.69472
04;2229251;CM003004001;Belabo;;5.03339;13.39486
04;2229251;CM003004002;Bertoua 1er;;4.52806;13.63078
04;2229251;CM003004003;Bertoua 2e;;4.55330;13.69090
04;2229251;CM003004004;Betare-Oya;;5.53781;13.68205
04;2229251;CM003004005;Diang;;4.61489;13.37007
04;2229251;CM003004006;Garoua-Boulai;;5.72923;14.43846
