degre;region;departement;arrondissement;groupement;numero;denomination;acte
1;ADAMAOUA;DJEREM;TIBATI;;1;Lamidat de TIBATI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;ADAMAOUA;FARO-ET-DEO;TIGNERE;;2;Lamidat de TIGNERE;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;ADAMAOUA;FARO-ET-DEO;MAYO-BALEO;;3;Lamidat de KONTCHA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;ADAMAOUA;MAYO-BANYO;BANYO;;4;Lamidat de BANYO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;ADAMAOUA;MBERE;MEIGANGA;;5;Chefferie de MEIGANGA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;ADAMAOUA;VINA;NGAOUNDERE;;6;Lamidat de NGAOUNDERE;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;CENTRE;LEKIE;OBALA;;7;Chefferie ENDINDING;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;CENTRE;LEKIE;LOBO;;8;Chefferie MVOG-NAMAI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;CENTRE;HAUTE-SANAGA;NANGA-EBOKO;;9;Chefferie YEZOUM;Arrêté n°113 du 8 avril 1987 portant reclassement de la chefferie supérieure YEZOUM au 1er degré
1;CENTRE;NYONG-ET-KELLE;ESEKA;;10;Chefferie NDOG-NDJOUEI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;CENTRE;NYONG-ET-KELLE;BOT-MAKAK;;11;Chefferie NDOG-BEA NORD;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;CENTRE;MBAM-ET-KIM;NGORO;;12;Chefferie SANAGA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;HAUT-NYONG;MBOANZ;;13;Chefferie MAKA–MBOANZ;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;HAUT-NYONG;BEBEND;;14;Chefferie MAKA–BEBEND;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;HAUT-NYONG;NGUELEMENDOUKA;;15;Chefferie OMVANG–SEKONDA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;HAUT-NYONG;NGUELEMENDOUKA;;16;Chefferie EBESSEP;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;HAUT-NYONG;LOMIE;;17;Chefferie NDZIMOU;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;LOM ET DJEREM;BELABO;;18;Canton KEPERE;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;KADEY;BATOURI;;19;Chefferie KAKA-MBONDJO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EST;KADEY;KETTE;;20;Chefferie BAYA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;DIAMARE;MAROUA I;;21;Lamidat de MAROUA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;DIAMARE;BOGO;;22;Lamidat de BOGO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-TSANAGA;MOKOLO;;23;Lamidat de MOKOLO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-TSANAGA;MOKOLO;;24;Chefferie MATAKAM-SUD;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-DANAY;YAGOUA;;25;Chefferie YAGOUA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-DANAY;KAR-HAY;;26;Chefferie DOUKOULA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-DANAY;KALFOU;;27;Chefferie KALFOU;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-SAVA;MORA;;28;Sultanat de WANDALA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;KAELE;;29;Chefferie KAELE;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;KAELE;;30;Chefferie MIDJIVING;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;KAELE;;31;Lamidat de DOUMROU;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;POHRI;;32;Chefferie BIZILI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;GUIDIGUIS;;33;Lamidat de GUIDIGUIS;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;MINDIF;;34;Lamidat de MINDIF;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;MAYO-KANI;MOUTOURWA;;35;Chefferie MOUTOURWA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;LOGONE-ET-CHARI;LOGONE-BIRNI;;36;Sultanat de LOGONE-BIRNI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;LOGONE-ET-CHARI;KOUSSERI;;37;Sultanat de KOUSSERI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;EXTREME-NORD;LOGONE-ET-CHARI;KOUSSERI;;38;Sultanat de GOULFEY;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;MOUNGO;MELONG;;39;Chefferie MBO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;MOUNGO;NJOMBE-PENJA;;40;Chefferie BONKENG-PENJA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;MOUNGO;MBANGA;;41;Chefferie BALONG;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;MOUNGO;DIBOMBARI;;42;Chefferie PONGO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;SANAGA-MARITIME;EDEA;;43;Chefferie EDEA BAKOKO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;WOURI;DOUALA Ier;;44;Chefferie BELL;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;WOURI;DOUALA IVe;;45;Chefferie AKWA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;LITTORAL;WOURI;DOUALA Ve;;46;Chefferie DEIDO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;BENOUE;GAROUA;;47;Chefferie BELLE-BELLE;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;BENOUE;GAROUA;;48;Chefferie BASSA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;BENOUE;GAROUA;;49;Lamidat de GAROUA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;BENOUE;BIBEMI;;50;Lamidat de BIBEMI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;MAYO-REY;REY-BOUBA;;51;Lamidat de REY-BOUBA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;MAYO-LOUTI;GUIDER;;52;Lamidat de GUIDER;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;MAYO-LOUTI;FIGUIL;;53;Chefferie de LAM;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD;MAYO-LOUTI;MAYO-OULO;;54;Chefferie de MAYO-OULO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;BAMBOUTOS;BABADJOU;;55;Chefferie BABADJOU;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;BAMBOUTOS;BATCHAM;;56;Chefferie BANGANG;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;BAMBOUTOS;BATCHAM;;57;Chefferie BATCHAM;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;MENOUA;DSCHANG;;58;Chefferie FOTO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;MENOUA;NKONG-NI;;59;Chefferie BAFOU;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;HAUT-NKAM;BANKA;;60;Chefferie BANKA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;HAUT-NKAM;BANA;;61;Chefferie BANA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;MIFI;BAMOUNGOUM;;62;Chefferie BAMOUNGOUM;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;NDE;BANGANGTE;;63;Chefferie BANGANGTE;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;NOUN;FOUMBAN;;64;Sultanat BAMOUN;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;OUEST;KOUNG-KHI;POUMOUGNE;;65;Chefferie BANDJOUN;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD-OUEST;MEZAM;BAMENDA II;;66;Chefferie MANKON;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD-OUEST;MEZAM;BALI;;67;Chefferie BALI-NYONGHA;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD-OUEST;MEZAM;BAFUT;;68;Chefferie BAFUT;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD-OUEST;BUI;KUMBO;;69;Chefferie NSO;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;NORD-OUEST;BOYO;FUNDONG;;70;Chefferie KOM;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD;DJA-ET-LOBO;SANGMELIMA;;71;Chefferie NDOU-LIBI;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD;DJA-ET-LOBO;SANGMELIMA;;72;Chefferie BOULOU DE BENGBIS;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD;OCEAN;LOLODORF;;73;Chefferie NGOUMBA-FANG;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD-OUEST;FAKO;LIMBE;;74;Chefferie VICTORIA-TOWN;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD-OUEST;FAKO;BUEA;;75;Chefferie BUEA-TOWN;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD-OUEST;MEME;KUMBA;;76;Chefferie KUMBA-TOWN;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD-OUEST;MANYU;MAMFE;;77;Chefferie MAMFE-TOWN;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
1;SUD-OUEST;LEBIALEM;FONTEM;;78;Chefferie FONTEM;Arrêté n°019/CAB/PM du 07 février 1981 déterminant les chefferies traditionnelles de 1er degré
