degre;region;departement;arrondissement;groupement;numero;denomination;acte
3;Adamaoua;Mbéré;;;2;BABONGO;
3;Adamaoua;Mbéré;;;3;BARDE;
3;Adamaoua;Mbéré;;;4;BOUNOU;
3;Adamaoua;Mbéré;;;5;DJALINGO;
3;Adamaoua;Mbéré;;;6;DOUAYEL;
3;Adamaoua;Mbéré;;;7;FADAI;
3;Adamaoua;Mbéré;;;8;FADAII;
3;Adamaoua;Mbéré;;;9;GARGALIMBONAI;
3;Adamaoua;Mbéré;;;10;GARGALIMBONAII;
3;Adamaoua;Mbéré;;;11;GBAWAR;
3;Adamaoua;Mbéré;;;12;GUNBELA;
3;Adamaoua;Mbéré;;;13;GOUIGOI;
3;Adamaoua;Mbéré;;;14;GOUIGOII;
3;Adamaoua;Mbéré;;;15;HORE-KONII;
3;Adamaoua;Mbéré;;;16;HORE-KONIII;
3;Adamaoua;Mbéré;;;17;MBARANG1;
3;Adamaoua;Mbéré;;;18;MBARANG2;
3;Adamaoua;Mbéré;;;19;FOULBE);
3;Adamaoua;Mbéré;;;20;MEIDOUGOU1;
3;Adamaoua;Mbéré;;;21;NANDEKE2;
3;Adamaoua;Mbéré;;;22;NANDEKE1;
3;Adamaoua;Mbéré;;;23;NGAM;
3;Adamaoua;Mbéré;;;24;NGANHI1;
3;Adamaoua;Mbéré;;;25;YAFOUNOU;
3;Adamaoua;Mbéré;;;26;DAKKERE;
3;Adamaoua;Mbéré;;;27;GBOUTOU;
3;Adamaoua;Mbéré;;;29;AUTONOME);
3;Adamaoua;Mbéré;;;30;GBAFOUCK-HOSSERE;
3;Adamaoua;Mbéré;;;31;SABGA;
3;Adamaoua;Mbéré;;;32;BARDE;
3;Adamaoua;Mbéré;;;33;BAMILEKE;
3;Adamaoua;Mbéré;;;34;BONABERI;
3;Adamaoua;Mbéré;;;35;DABOLOY;
3;Adamaoua;Mbéré;;;36;FOULBERE1;
3;Adamaoua;Mbéré;;;37;FOULBERE2;
3;Adamaoua;Mbéré;;;38;HAOUSSA;
3;Adamaoua;Mbéré;;;39;GALE;
3;Adamaoua;Mbéré;;;40;NGASSIRI-GBAHOKO;
3;Adamaoua;Mbéré;;;41;NGASSIRI-GONGA;
3;Adamaoua;Mbéré;;;42;(COMMUNAUTEMBERE);
3;Adamaoua;Mbéré;;;43;SABONGARI1;
3;Adamaoua;Mbéré;;;44;SABONGARI2;
3;Adamaoua;Mbéré;;;45;SABONGARI3;
3;Adamaoua;Mbéré;;;46;SABONGARI-GBABOY;
3;Adamaoua;Mbéré;;;47;YELWAABBA;
3;Adamaoua;Mbéré;;;48;YELWAMOUSSA;
3;Adamaoua;Mbéré;;;49;ZANDABA2(GBAYA);
3;Adamaoua;Mbéré;;;50;ZANDABA2(MBERE);
3;Adamaoua;Mbéré;;;51;BAÏNA1;
3;Adamaoua;Mbéré;;;52;BAÏNA2;
3;Adamaoua;Mbéré;;;53;BATOUAGODOLE1;
3;Adamaoua;Mbéré;;;54;BATOUAGODOLE2;
3;Adamaoua;Mbéré;;;55;BEKA;
3;Adamaoua;Mbéré;;;56;BEMBARANG;
3;Adamaoua;Mbéré;;;57;DANKALI;
3;Adamaoua;Mbéré;;;58;DJOUZAMI;
3;Adamaoua;Mbéré;;;59;DOKOLIM;
3;Adamaoua;Mbéré;;;60;KA’AKA;
3;Adamaoua;Mbéré;;;61;KOMBO-LAKA;
3;Adamaoua;Mbéré;;;62;KPAMA2;
3;Adamaoua;Mbéré;;;63;MBALE;
3;Adamaoua;Mbéré;;;64;MBANZOU;
3;Adamaoua;Mbéré;;;65;MBORGUENE;
3;Adamaoua;Mbéré;;;66;NDOYONG;
3;Adamaoua;Mbéré;;;67;TOUGOUN;
3;Adamaoua;Mbéré;;;68;FOULBE-LOKOTI;
3;Adamaoua;Mbéré;;;69;LOKOTI(COMMUNAUTE;
3;Adamaoua;Mbéré;;;70;NABEMO2;
3;Adamaoua;Mbéré;;;71;BORGOP;
3;Adamaoua;Mbéré;;;72;DAMISSA;
3;Adamaoua;Mbéré;;;73;DAREMBONDO;
3;Adamaoua;Mbéré;;;74;DIKORI;
3;Adamaoua;Mbéré;;;75;DJAKONG;
3;Adamaoua;Mbéré;;;79;DJALINGO;
3;Adamaoua;Mbéré;;;80;DJOHONG2;
3;Adamaoua;Mbéré;;;81;DJOHONGMARSA;
3;Adamaoua;Mbéré;;;82;GANDINANG1;
3;Adamaoua;Mbéré;;;83;GANDINANG2;
3;Adamaoua;Mbéré;;;84;HOSSERE-GADJI;
3;Adamaoua;Mbéré;;;85;HOSSERE-NAREHI;
3;Adamaoua;Mbéré;;;86;LAINDEMAMI1;
3;Adamaoua;Mbéré;;;87;LAINDEMAMIIV;
3;Adamaoua;Mbéré;;;88;LAMOU;
3;Adamaoua;Mbéré;;;89;MBELA-NGOU;
3;Adamaoua;Mbéré;;;90;MBEWE-BANKI;
3;Adamaoua;Mbéré;;;91;MBEWE-MIDAL;
3;Adamaoua;Mbéré;;;92;MBOUDOUA;
3;Adamaoua;Mbéré;;;93;NDAWE1;
3;Adamaoua;Mbéré;;;94;NDAWE2;
3;Adamaoua;Mbéré;;;95;NDAWE3;
3;Adamaoua;Mbéré;;;96;NGAOUZORO;
3;Adamaoua;Mbéré;;;97;NGOUDJOHONG;
3;Adamaoua;Mbéré;;;98;OURRO-ADDE;
3;Adamaoua;Mbéré;;;99;TCHABBALKAREHI;
3;Adamaoua;Mbéré;;;100;YAMBA;
3;Adamaoua;Mbéré;;;101;YARMBANG1;
3;Adamaoua;Mbéré;;;102;YARMBANG2;
3;Adamaoua;Mbéré;;;103;YARMBANG3;
3;Adamaoua;Mbéré;;;104;BAWAKA-KOE;
3;Adamaoua;Mbéré;;;105;BAWAKA-OUMAROU;
3;Adamaoua;Mbéré;;;106;DIEL;
3;Adamaoua;Mbéré;;;107;DJABORI;
3;Adamaoua;Mbéré;;;108;GBANGASALAO;
3;Adamaoua;Mbéré;;;109;NGAOUI;
3;Adamaoua;Mbéré;;;110;WANDANDARE;
3;Adamaoua;Mbéré;;;111;BAFOUCK;
3;Adamaoua;Mbéré;;;112;BAFOUCK3;
3;Adamaoua;Mbéré;;;113;BODJO;
3;Adamaoua;Mbéré;;;114;LAMOU;
3;Adamaoua;Mbéré;;;115;KELA-SAMI;
3;Adamaoua;Mbéré;;;116;SIMI2;
3;Adamaoua;Mbéré;;;117;NGAOUNDERE-BINDIBA;
3;Adamaoua;Mbéré;;;118;SABONGARI1;
3;Adamaoua;Mbéré;;;119;JOLI-SOIR;
3;Adamaoua;Mbéré;;;120;BADJER4;
3;Adamaoua;Djérem;;;1;ALARBA;
3;Adamaoua;Djérem;;;2;ALLAT-MENGACK;
3;Adamaoua;Djérem;;;3;BANTAI;
3;Adamaoua;Djérem;;;4;BEMOULOUM;
3;Adamaoua;Djérem;;;5;BONINTING;
3;Adamaoua;Djérem;;;6;DABER;
3;Adamaoua;Djérem;;;7;DAH;
3;Adamaoua;Djérem;;;8;DANGHAOUSSA;
3;Adamaoua;Djérem;;;9;DJOAH1(ALLAT-MENGACK);
3;Adamaoua;Djérem;;;10;DJOAH2(ALLAT-MENGACK);
3;Adamaoua;Djérem;;;11;DJOMBI1;
3;Adamaoua;Djérem;;;12;DJOMBI2;
3;Adamaoua;Djérem;;;13;GONGONTOUA;
3;Adamaoua;Djérem;;;14;HORELAINDE;
3;Adamaoua;Djérem;;;15;KANDJE;
3;Adamaoua;Djérem;;;16;KILAMANTI;
3;Adamaoua;Djérem;;;17;KOATA;
3;Adamaoua;Djérem;;;18;KOUSSI;
3;Adamaoua;Djérem;;;19;LAINDENGOUDA;
3;Adamaoua;Djérem;;;20;LOKOROTIDJOMI;
3;Adamaoua;Djérem;;;21;LOUH;
3;Adamaoua;Djérem;;;22;MAHBA;
3;Adamaoua;Djérem;;;23;MAHKABOUBALA;
3;Adamaoua;Djérem;;;24;MAHOR;
3;Adamaoua;Djérem;;;25;MAISSABA;
3;Adamaoua;Djérem;;;26;MAKENDAOU;
3;Adamaoua;Djérem;;;27;MAKOUP;
3;Adamaoua;Djérem;;;28;MAKOUSSI1;
3;Adamaoua;Djérem;;;29;MALARBA2;
3;Adamaoua;Djérem;;;30;MANDJARA;
3;Adamaoua;Djérem;;;31;MANDOUM 1;
3;Adamaoua;Djérem;;;32;MAWOCTI;
3;Adamaoua;Djérem;;;33;MAYOMBANA;
3;Adamaoua;Djérem;;;34;MAYONAGUE;
3;Adamaoua;Djérem;;;35;MAYO-KELELE(MARMA);
3;Adamaoua;Djérem;;;36;MAYO-TOLERE;
3;Adamaoua;Djérem;;;37;MBAKAOU1;
3;Adamaoua;Djérem;;;38;MBAKAOU2;
3;Adamaoua;Djérem;;;39;MBAMTI;
3;Adamaoua;Djérem;;;40;MBAMTI-MBANG;
