code_region;code;nom;chef_lieu;geonameid;lat;lng
04;2233500;Boumba-et-Ngoko;Yokadouma;2233500;3;15
04;2230815;Haut-Nyong;Abong-Mbang;2230815;3.5;13.75
04;2230606;Kadey;Batouri;2230606;4.24;14.42
04;2229251;Lom-et-Djérem;Bertoua;2229251;5.16667;13.83333
05;2225744;Moungo;Nkongsamba;2225744;4.67295;9.76855
05;2224165;Nkam;Yabassi;2224165;4.5;10.16667
05;2222269;Sanaga-Maritime;Édéa;2222269;4;10.33333
05;2221059;Wouri;Douala;2221059;4;9.66667
07;9224959;Boyo;Fundong;9224959;6.36365;10.3554
07;2233408;Bui;Kumbo;2233408;6.25;10.75
07;2232640;Donga-Mantung;Nkambé;2232640;6.66667;10.83333
07;2226947;Menchum;Wum;2226947;6.5;10.16667
07;2226830;Mezam;Bamenda;2226830;5.97851;10.14779
07;2226140;Momo;Mbengwi;2226140;5.90053;9.97445
07;10289311;Ngo-Ketunjia;Ndop;10289311;6.00729;10.57462
08;2234988;Bamboutos;Mbouda;2234988;5.63333;10.25
08;2230816;Haut-Nkam;Bafang;2230816;5.15;10.18333
08;9224961;Hauts-Plateaux;Baham;9224961;5.29632;10.34314
08;9224964;Koung-Khi;Bandjoun;9224964;5.33848;10.47453
08;2227064;Menoua;Dschang;2227064;5.45;10.06667
08;2226712;Mifi;Bafoussam;2226712;5.48333;10.4
08;2225334;Ndé;Bangangté;2225334;5.15;10.51667
08;9224965;Noun;Foumban;9224965;5.64123;10.9184
09;2231710;Fako;Limbé;2231710;4.16667;9.16667
09;8505106;Koupé-Manengouba;Bangem;8505106;5.0856;9.78
09;9224975;Lebialem;Menji;9224975;5.56043;9.92316
09;2228442;Manyu;Mamfé;2228442;5.82;9.37
09;2227197;Meme;Kumba;2227197;4.83333;9.33333
09;2225280;Ndian;Mundemba;2225280;4.83333;8.83333
10;7670946;Djérem;Tibati;7670946;6.48112;12.69703
10;7670947;Faro-et-Déo;Tignère;7670947;7.46684;12.49612
10;9224946;Mayo-Banyo;Banyo;9224946;6.58138;11.73522
10;8299279;Mbéré;Meiganga;8299279;6.434;14.243
10;7670948;Vina;Ngaoundéré;7670948;7.16365;13.72711
11;2230817;Haute-Sanaga;Nanga-Eboko;2230817;4.6;12.4
11;2229546;Lekié;Monatélé;2229546;4.2;11.4
11;9224948;Mbam-et-Inoubou;Bafia;9224948;4.73754;10.96972
11;7730793;Mbam-et-Kim;Ntui;7730793;4.44157;11.64104
11;7731690;Méfou-et-Afamba;Mfou;7731690;3.96;11.93
11;9165815;Méfou-et-Akono;Ngoumou;9165815;3.58706;11.36089
11;8693008;Mfoundi;Yaoundé;8693008;3.8667;11.5167
11;2223330;Nyong-et-Kellé;Éséka;2223330;3.83333;10.83333
11;2223329;Nyong-et-Mfoumou;Akonolinga;2223329;4;12.4
11;2223327;Nyong-et-So'o;Mbalmayo;2223327;3.4;11.5
12;2233122;Diamaré;Maroua;2233122;10.5;14.5
12;2229291;Logone-et-Chari;Kousséri;2229291;12.08333;14.83333
12;2228217;Mayo-Danay;Yagoua;2228217;10.5;15
12;7932539;Mayo-Kani;Kaélé;7932539;10.22427;14.51862
12;9224949;Mayo-Sava;Mora;9224949;11.10682;14.2056
12;9224951;Mayo-Tsanaga;Mokolo;9224951;10.58221;13.79351
13;2234396;Bénoué;Garoua;2234396;9.2202;13.47663
13;9228189;Faro;Poli;9228189;8.25014;12.87829
13;8740152;Mayo-Louti;Guider;8740152;9.96577;13.72738
13;8740150;Mayo-Rey;Tcholliré;8740150;8.1263;14.61456
14;2232969;Dja-et-Lobo;Sangmélima;2232969;2.75;12.91667
14;9230015;Mvila;Ébolowa;9230015;2.79796;11.39434
14;2229760;Océan;Kribi;2229760;2.75;10.25
14;9239012;Vallée-du-Ntem;Ambam;9239012;2.36667;11.26667
